,,,CategoryTag,TypeTag,EnglishTag,Adjusted_EnglishTag,BuildTag
,V,MGA,Durchfluss,Stadtgasverbrauch,Town gas consumption,City gas,HC5
,V,MGA,Durchfluss,Stadtgasverbrauch,Town gas consumption,City gas,HC5
,V,MGA,Durchfluss,Stadtgasverbrauch,Town gas consumption,City gas,HCI
,V,MGA,Durchfluss,Stadtgasverbrauch,Town gas consumption,City gas,HEZ
,V,MGA,Durchfluss,Stadtgasverbrauch,Town gas consumption,City gas,HEZ
,V,MGA,Durchfluss,Stadtgasverbrauch,Town gas consumption,City gas,HEZ
,V,MGA,Durchfluss,Stadtgasverbrauch,Town gas consumption,City gas,HEZ
,V,MGA,Durchfluss,Stadtgasverbrauch,Town gas consumption,City gas,HIT
,VP,MGA,Durchfluss,Stadtgasverbrauch,Town gas consumption,City gas,HIT
,V,MGA,Durchfluss,Stadtgasverbrauch,Town gas consumption,City gas,HPM
,V,MGW,Durchfluss,Grauwasserverbrauch,Grey water consumption,Grey water,HC1
,V,MGW,Durchfluss,Grauwasserverbrauch,Grey water consumption,Grey water,HC1
,V,MGW,Durchfluss,Grauwasserverbrauch,Grey water consumption,Grey water,HC1
,V,MGW,Durchfluss,Grauwasserverbrauch,Grey water consumption,Grey water,HC1
,V,MGW,Durchfluss,Grauwasserverbrauch,Grey water consumption,Grey water,HC1
,V,MGW,Durchfluss,Grauwasserverbrauch,Grey water consumption,Grey water,HCI
,QW,MHE,Energie,Wärmeverbrauch,Heat consumption,Heating energy,HC0
,QW,MHE,Energie,Wärmeverbrauch,Heat consumption,Heating energy,HC0
,QW,MHE,Energie,Wärmeverbrauch,Heat consumption,Heating energy,HC0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,QW,MHE,Energie,Wärmeverbrauch,Heat consumption,Heating energy,HC1
,QW,MHE,Energie,Wärmeverbrauch,Heat consumption,Heating energy,HC1
,QW,MHE,Energie,Wärmeverbrauch,Heat consumption,Heating energy,HC2
